10
18 41
57 56 62
73 12 5
67 94 3
16 29 52
98 41 32
59 10 50
43 22 44
89 82 39
8 25 59
69 58 14
51 14 4
92 11 31
52 59 17
50 11 42
30 43 16
66 54 36
39 12 20
99 85 22
46 65 45
48 21 14
7 85 6
3 36 40
35 19 48
84 39 20
9 79 32
78 81 58
88 44 9
6 37 8
17 19 14
103 35 21
96 86 26
13 70 42
62 7 32
1 64 2
79 16 13
30 13 24
30 29 64
47 72 13
32 16 44
88 16 14
29 81 22
26 69 6
60 45 31
26 85 11
41 49 12
29 24 27
58 39 40
25 12 37
17 71 12
32 53 43
8 82 34
53 87 39
73 38 8
53 40 19
77 4 29
101 46 45
11 93 10
22 90 35
93 85 11
17 31 35
74 41 51
56 55 18
93 14 22
5 9 55
8 29 19
29 41 56
17 2 60
82 100 30
62 15 44
93 25 16
5 91 24
59 13 25
48 90 24
56 32 53
60 3 57
101 50 48
78 93 52
74 18 44
64 45 62
88 60 51
51 67 55
63 67 43
24 75 53
32 47 29
10 23 52
59 6 24
23 97 52
16 20 17
61 1 18
96 68 1
59 98 1
101 5 3
71 49 25
93 61 24
11 1 55
96 80 8
88 75 2
4 19 32
4 13 64
47 93 12
17 29 19
101 15 45
45 39 50
2 87 56
82 37 53
57 101 31
3 14 39
101 30 62
9 61 17
102 24 29
2 2 19
44 63
23 19 22
32 19 39
27 32 23
15 23 49
22 19 50
41 32 61
21 23 46
33 19 32
36 22 15
43 22 51
44 43 43
34 27 27
38 43 41
13 22 45
39 43 7
35 21 11
1 27 58
25 41 1
40 34 23
26 19 44
12 36 37
7 38 27
28 19 24
31 43 41
29 43 60
30 19 33
11 13 46
16 43 57
14 33 40
9 7 46
2 16 60
42 28 10
24 2 41
37 14 4
5 41 58
10 25 6
4 24 23
20 29 47
18 1 26
17 9 20
3 18 50
8 14 60
6 37 46
21 37 52
11 10 24
40 30 19
1 6 7
34 36 10
7 21 57
25 8 15
43 30 60
4 19 15
27 10 2
39 25 47
5 8 4
34 38 6
15 44 17
26 9 37
22 9 50
5 11 28
34 43 52
8 41 34
37 15 2
129 130
95 42 64
55 95 34
79 55 42
92 79 23
89 42 26
121 95 47
7 121 21
123 79 29
9 92 50
93 55 51
99 92 34
64 9 53
108 99 39
122 99 64
91 92 12
74 121 52
128 79 17
81 123 51
115 74 49
47 92 58
73 108 8
76 79 14
4 9 4
58 95 24
53 89 44
12 76 24
66 115 20
107 66 41
15 121 6
80 66 48
31 42 47
36 79 27
43 31 56
61 36 56
94 64 22
90 108 49
29 107 25
40 123 57
114 66 40
118 4 17
70 53 26
21 9 32
88 90 51
24 74 38
25 95 48
57 9 8
44 31 57
65 81 28
71 7 47
13 128 24
96 43 5
69 96 33
75 21 6
109 76 57
17 53 40
23 42 1
78 64 48
116 43 46
83 57 40
28 31 26
126 96 41
63 92 53
84 70 3
110 74 16
67 89 36
2 90 53
50 42 47
16 42 4
124 118 45
117 99 33
18 107 4
104 65 22
3 43 1
101 76 21
30 83 22
41 108 63
38 69 14
100 29 30
60 70 4
113 38 2
8 60 20
45 66 14
32 114 11
34 41 54
37 40 13
103 115 11
120 122 55
105 84 3
46 67 35
49 36 30
1 63 4
72 23 54
6 46 16
48 61 33
14 12 64
85 67 57
82 103 24
56 17 21
33 6 22
119 70 24
112 120 32
129 81 50
125 37 2
68 96 12
19 60 10
20 21 28
10 93 5
97 36 29
86 81 35
22 38 38
26 48 31
27 126 54
87 10 35
51 4 23
77 57 20
111 55 26
39 99 17
11 118 8
5 49 62
52 56 54
35 75 59
62 101 19
127 123 33
102 44 19
106 68 45
54 97 37
59 105 22
98 53 1
14 34 57
29 101 49
11 52
6 3 59
9 6 26
8 3 14
1 6 6
7 9 17
11 9 12
10 11 19
2 11 39
4 8 37
5 6 13
2 1 13
2 4 60
10 2 61
11 8 57
2 10 51
9 9 64
10 5 5
10 7 32
10 4 50
5 1 53
4 4 1
7 11 33
7 3 18
1 11 28
11 7 16
6 6 29
10 8 48
3 7 19
6 2 6
5 5 32
8 9 36
5 1 40
7 3 18
4 4 60
11 2 17
3 2 29
10 9 45
4 2 51
3 3 59
7 1 50
4 2 62
2 5 43
2 4 53
4 5 23
3 9 11
4 9 2
11 2 60
10 3 61
10 7 37
11 4 37
10 4 49
3 1 9
78 100
59 14 29
8 14 33
57 59 26
66 59 26
38 66 44
56 38 7
25 38 51
7 59 50
18 7 40
3 59 18
49 57 9
30 18 20
33 14 47
26 66 20
52 59 37
28 38 29
62 26 57
69 26 40
27 18 51
15 62 42
72 28 55
76 30 1
44 30 34
22 62 58
41 3 51
78 66 24
60 18 16
34 78 58
12 27 13
64 7 38
23 25 2
39 8 49
1 34 63
61 69 12
37 78 26
50 15 15
36 25 37
77 56 56
29 36 1
24 59 15
6 29 60
70 3 46
31 26 17
4 69 9
75 52 51
55 76 14
67 49 49
68 55 46
40 76 23
10 76 32
74 8 46
16 18 63
2 62 60
71 29 24
35 15 39
13 77 47
11 31 13
20 23 46
65 75 3
21 40 58
42 14 36
58 29 41
53 35 6
9 76 3
47 37 15
63 40 11
45 1 15
17 66 14
51 27 62
19 68 6
5 47 11
54 74 7
73 45 15
46 41 52
32 49 41
43 28 6
48 74 52
7 74 46
70 22 4
12 35 19
62 5 14
56 67 27
56 10 64
4 61 10
43 19 33
57 32 20
51 23 64
75 54 52
18 24 44
3 20 64
7 39 29
23 14 3
32 29 38
42 60 45
61 38 58
42 37 58
64 7 34
39 10 23
12 75 43
31 54 32
89 184
45 80 37
71 45 57
59 45 3
86 80 58
87 86 55
8 71 59
49 87 56
42 86 49
52 86 55
40 8 26
38 45 3
6 71 2
69 45 25
5 87 56
25 49 4
75 8 60
21 71 22
89 40 22
23 8 1
39 40 7
13 69 19
73 13 50
1 75 54
79 52 64
19 38 5
60 79 33
12 6 56
9 87 35
66 89 32
50 66 20
4 6 32
65 5 11
54 1 3
14 86 13
34 4 47
81 8 59
76 66 20
22 4 12
37 79 14
2 71 53
17 4 36
58 89 24
57 21 55
35 45 42
51 86 20
44 73 56
78 80 12
46 89 40
56 44 35
84 34 17
64 58 6
67 14 18
43 45 55
15 8 35
74 6 40
85 44 21
10 79 44
26 37 37
72 26 38
18 51 55
32 18 11
16 34 43
55 75 48
20 21 35
70 54 5
3 1 35
48 14 62
36 74 36
7 16 17
27 34 55
82 81 28
77 60 2
61 15 55
29 55 40
63 18 51
83 21 20
41 77 12
28 34 18
11 7 16
62 67 13
31 59 40
30 36 30
68 2 34
24 36 25
53 14 6
88 83 41
33 6 26
47 17 40
79 46 16
58 70 43
39 41 62
9 5 59
54 33 10
16 64 30
40 63 59
20 9 60
51 67 1
44 76 34
22 50 10
2 83 25
65 14 5
2 23 61
34 22 47
8 57 45
3 64 25
12 86 38
78 76 37
64 12 13
46 49 30
61 75 61
7 3 30
51 80 60
72 76 41
39 36 25
36 33 51
32 2 27
18 58 42
30 30 46
78 45 64
86 81 47
21 52 37
11 20 31
19 56 24
76 58 24
19 89 62
42 34 3
32 78 34
61 44 29
16 5 20
30 34 16
14 33 42
34 61 38
89 72 64
80 65 38
12 30 4
45 8 50
56 62 22
32 44 19
36 77 55
69 31 29
35 4 3
28 85 6
10 88 32
7 41 57
37 48 42
66 27 37
38 26 3
81 79 47
1 14 22
32 53 56
57 55 2
52 70 26
50 29 30
2 31 37
71 2 7
8 6 64
56 54 18
45 2 32
58 69 4
43 16 19
30 32 27
10 81 6
60 24 57
2 42 53
25 89 30
30 83 56
16 54 52
39 62 40
41 83 38
56 38 36
87 24 63
12 66 56
35 4 22
9 80 54
31 1 18
46 14 19
10 34 29
4 43 51
20 6 2
57 49 33
81 67 7
57 25 52
60 15 3
72 65 17
4 56
1 3 33
4 3 31
2 4 37
3 1 8
3 4 22
1 2 8
1 4 56
3 3 32
4 1 28
2 4 14
3 3 18
3 3 40
1 1 26
2 4 63
1 2 37
2 1 43
1 1 56
4 4 56
4 3 58
3 1 13
1 2 34
4 1 20
4 2 39
4 4 23
1 4 60
1 3 9
1 2 30
4 1 39
3 2 26
3 3 53
4 4 47
4 4 24
1 2 11
1 4 38
4 4 49
2 4 1
3 1 30
3 3 62
1 4 2
3 4 4
2 3 18
1 2 61
2 4 44
2 1 56
1 2 32
4 2 8
4 3 25
3 1 12
2 2 22
2 1 50
4 2 44
1 2 38
4 1 50
4 4 56
1 4 13
3 3 45
